list_origin_mammal
Peromyscus maniculatus
Rattus fuscipes
Sciurus vulgaris
Myotis brandtii
Artibeus jamaicensis
Rhinolophus hipposideros
Pteropus poliocephalus
Mustela erminea
Canis lupus
Mirounga leonina
Phoca vitulina
Capreolus capreolus
Capra ibex
Sus scrofa
Macropus giganteus
Trichosurus vulpecula
Pseudocheirus peregrinus
Lepus europaeus
Ochotona princeps
Sorex araneus
Talpa europaea
Tursiops truncatus
Erinaceus europaeus
Sorex cinereus
Equus caballus
Aphelops fossiger
Homo sapiens
Macaca fascicularis
Antechinus stuartii
Isoodon macrourus
Macrotis lagotis
Didelphis virginiana
Elephas primigenius
Tachyglossus aculeatus
Ornithorhynchus anatinus
Loxodonta africana
Sorex minutus
Crocidura russula
Blarina brevicauda
Microtus pennsylvanicus
Pipistrellus pipistrellus
Vulpes vulpes
Cervus elaphus
Capra hircus
Wallabia bicolor
Ondatra zibethicus
Oryctolagus cuniculus
Myodes glareolus
Nyctalus noctula
Urocyon cinereoargenteus
Odocoileus virginianus
Rupicapra rupicapra
