list_origin_amphibian
Rana temporaria
Lithobates catesbeianus
Lithobates clamitans
Pelophylax ridibundus
Pelophylax perezi
Litoria peronii
Litoria aurea
Litoria fallax
Hyla arborea
Pseudacris crucifer
Pseudacris regilla
Bufo bufo
Anaxyrus americanus
Rhinella marina
Crinia signifera
Limnodynastes tasmaniensis
Microhyla ornata
Gastrophryne carolinensis
Fejervarya limnocharis
Leptodactylus melanonotus
Polypedates leucomystax
Spea multiplicata
Alytes obstetricans
Bombina variegata
Bombina bombina
Plethodon cinereus
Desmognathus fuscus
Plethodon glutinosus
Plethodon jordani
Plethodon montanus
Desmognathus fuscus
Desmognathus ochrophaeus
Desmognathus monticola
Desmognathus ocoee
Eurycea bislineata
Eurycea cirrigera
Batrachoseps attenuatus
Ensatina eschscholtzii
Pseudotriton ruber
Lissotriton vulgaris
Lissotriton helveticus
Triturus cristatus
Triturus marmoratus
Salamandra salamandra
Ichthyosaura alpestris
Notophthalmus viridescens
Taricha granulosa
Taricha torosa
Ambystoma maculatum
Ambystoma tigrinum
Ambystoma opacum
