scientificName,kingdom,taxon_key
Rana temporaria,,2426805
Lithobates catesbeianus,,2427831
Lithobates clamitans,,5217160
Pelophylax ridibundus,,2424585
Pelophylax perezi,,2429578
Litoria peronii,,2422110
Litoria aurea,,2431491
Litoria fallax,,5218405
Hyla arborea,,2431951
Pseudacris crucifer,,2427091
Pseudacris regilla,,2427911
Bufo bufo,,2422872
Anaxyrus americanus,,2426661
Rhinella marina,,2426658
Crinia signifera,,2421766
Limnodynastes tasmaniensis,,2431224
Microhyla ornata,,5218410
Gastrophryne carolinensis,,2431993
Fejervarya limnocharis,,2427172
Leptodactylus melanonotus,,2427671
Polypedates leucomystax,,5216933
Spea multiplicata,,2427573
Alytes obstetricans,,2428182
Bombina variegata,,2428132
Bombina bombina,,2431885
Plethodon cinereus,,
Desmognathus fuscus,,
Plethodon glutinosus,,
Plethodon jordani,,
Plethodon montanus,,
Desmognathus fuscus,,
Desmognathus ochrophaeus,,
Desmognathus monticola,,
Desmognathus ocoee,,
Eurycea bislineata,,
Eurycea cirrigera,,
Batrachoseps attenuatus,,
Ensatina eschscholtzii,,
Pseudotriton ruber,,
Lissotriton vulgaris,,
Lissotriton helveticus,,
Triturus cristatus,,
Triturus marmoratus,,
Salamandra salamandra,,
Ichthyosaura alpestris,,
Notophthalmus viridescens,,
Taricha granulosa,,
Taricha torosa,,
Ambystoma maculatum,,
Ambystoma tigrinum,,
Ambystoma opacum,,
