scientificName,kingdom,taxon_key
Melospiza melodia,,2492196
Melospiza georgiana,,2492235
Melospiza lincolnii,,2492192
Zonotrichia albicollis,,5231140
Zonotrichia leucophrys,,5231132
Zonotrichia atricapilla,,5231138
Zonotrichia capensis,,5231103
Junco hyemalis,,9362842
Spizella passerina,,2492109
Spizella pusilla,,2492096
Spizella pallida,,2492101
Emberiza schoeniclus,,2491557
Emberiza citrinella,,2491534
Emberiza calandra,,7634625
Pipilo erythrophthalmus,,2491205
Pipilo maculatus,,9709230
Passerculus sandwichensis,,5231142
Melozone crissalis,,7341600
Spizelloides arborea,,7357320
Passerella iliaca,,2491872
Ammodramus savannarum,,2491123
Chondestes grammacus,,2491651
Pooecetes gramineus,,2491728
Arremon assimilis,,7341896
Amphispiza bilineata,,2491757
Aimophila ruficeps,,2491961
Corvus brachyrhynchos,,2482507
Corvus corax,,2482492
Corvus corone,,9409796
Corvus cornix,,2482515
Corvus ossifragus,,2482481
Corvus frugilegus,,2482513
Cyanocitta cristata,,2482593
Cyanocitta stelleri,,2482598
Pica pica,,5229490
Pica hudsonia,,5229487
Coloeus monedula,,6100954
Aphelocoma californica,,2482414
Garrulus glandarius,,5229493
Nucifraga caryocatactes,,2482613
Spinus tristis,,5231640
Spinus psaltria,,5231647
Spinus spinus,,6092830
Spinus pinus,,5231635
Haemorhous mexicanus,,8323485
Haemorhous purpureus,,7804446
Fringilla coelebs,,2494422
Fringilla montifringilla,,2494441
Chloris chloris,,5845582
Carduelis carduelis,,2494686
Acanthis flammea,,5231630
Pyrrhula pyrrhula,,2494543
Linaria cannabina,,8104397
Loxia curvirostra,,9629160
Serinus serinus,,2494200
Setophaga coronata,,7341805
Setophaga petechia,,7341834
Setophaga ruticilla,,2489985
Setophaga palmarum,,7341822
Setophaga americana,,6093345
Setophaga pinus,,7341816
Setophaga striata,,6092935
Geothlypis trichas,,2489670
Leiothlypis celata,,8169649
Leiothlypis ruficapilla,,7531611
Mniotilta varia,,2489613
Cardellina pusilla,,7341606
Seiurus aurocapilla,,2489590
Parkesia noveboracensis,,6093856
Turdus migratorius,,9510564
Turdus merula,,2490719
Turdus philomelos,,7901064
Turdus pilaris,,2490737
Turdus iliacus,,2490781
Sialia sialis,,2490941
Sialia mexicana,,2490936
Catharus guttatus,,2490810
Catharus ustulatus,,2490821
Hylocichla mustelina,,2490872
Myadestes townsendi,,2490849
Poecile atricapillus,,2487805
Baeolophus bicolor,,2487887
Parus major,,9705453
Cyanistes caeruleus,,2487879
Agelaius phoeniceus,,9409198
Quiscalus quiscula,,2484155
Sayornis phoebe,,2483606
Tyrannus tyrannus,,5229688
