scientificName,kingdom,taxon_key
Ctenotus inornatus,,2462371
Ctenotus schomburgkii,,2462374
Sceloporus occidentalis,,2451234
Trachemys scripta,,2443002
Chelonia mydas,,2442225
Crocodylus porosus,,2441333
Alligator mississippiensis,,2441370
Ctenotus schomburgkii,,2462374
Lerista muelleri,,2464605
Tiliqua scincoides,,2462503
Tiliqua rugosa,,2462522
Carlia munda,,5225067
Plestiodon fasciatus,,5789613
Emoia caeruleocauda,,2463461
Lampropholis guichenoti,,5225255
Morethia boulengeri,,2463735
Scincella lateralis,,2461434
Sceloporus undulatus,,2451347
Sceloporus grammicus,,2451167
Uta stansburiana,,2451029
Phrynosoma cornutum,,5222413
Coluber flagellum,,4287637
Lampropeltis triangulum,,5224503
Pituophis catenifer,,2453826
Pantherophis obsoletus,,2455676
Coronella austriaca,,5959617
Zamenis longissimus,,2458538
Hierophis viridiflavus,,2458916
Dendrelaphis punctulatus,,2459293
Podarcis muralis,,2469188
Podarcis hispanicus,,9019391
Lacerta agilis,,6159223
Zootoca vivipara,,9702100
Timon lepidus,,2468542
Psammodromus algirus,,2469763
Teira dugesii,,2468700
Thamnophis sirtalis,,2457522
Thamnophis elegans,,2457545
Thamnophis proximus,,2457575
Natrix helvetica,,9350124
Natrix natrix,,6161347
Nerodia sipedon,,5223334
Storeria dekayi,,9056579
Nerodia fasciata,,5223349
Hemidactylus frenatus,,9537238
Hemidactylus turcicus,,5221528
Hemidactylus mabouia,,5959942
Gehyra variegata,,2446224
Heteronotia binoei,,2448146
Gekko japonicus,,2447295
Lepidodactylus lugubris,,9164170
Christinus marmoratus,,2446947
Anolis carolinensis,,2466939
Anolis sagrei,,4287413
Anolis distichus,,2467218
Crotalus atrox,,2444356
Vipera berus,,5960862
Vipera aspis,,2444339
Agkistrodon contortrix,,9215881
Ctenophorus nuchalis,,5226062
Intellagama lesueurii,,8161292
Cnemidophorus exsanguis,,5227545
Aspidoscelis tigris,,8913064
Aspidoscelis gularis,,9013527
Ameiva ameiva,,2472164
Holcosus undulatus,,9415528
Pseudechis porphyriacus,,2449538
Pseudonaja textilis,,8615718
Diadophis punctatus,,8763701
Heterodon platirhinos,,5223730
Anguis fragilis,,2468095
Elgaria multicarinata,,2468262
Diplodactylus vittatus,,5959760
Lucasium damaeum,,4819663
Sphaerodactylus macrolepis,,2445319
Varanus varius,,2470715
Varanus gouldii,,8875670
Malpolon monspessulanus,,8796529
Ctenosaura similis,,2459603
Iguana iguana,,2459658
Dipsosaurus dorsalis,,2459646
Tarentola mauritanica,,2445034
Phyllodactylus tuberculosus,,5959817
Morelia spilota,,5225659
Trachemys inflata,,4965320
Terrapene carolina,,2443173
Chrysemys picta,,2443133
Pseudemys concinna,,8898408
Emys orbicularis,,8909809
Emydoidea blandingii,,2442885
Testudo hermanni,,2441454
Gopherus polyphemus,,2441812
Sternotherus odoratus,,5220393
Chelodina longicollis,,9268496
Chelydra serpentina,,2441905
Apalone spinifera,,2442680
Mauremys leprosa,,2443341
